"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-6COJU9A\PhysicalDisk(_Total)\Disk Reads/sec","\\ASCENDI-6COJU9A\PhysicalDisk(_Total)\Disk Writes/sec"
"08/25/2025 14:17:17.893"," "," "
"08/25/2025 14:17:33.607","0.26661994063333754879","8.1985631744751295003"
"08/25/2025 14:17:48.604","0.20004036014306245117","3.6674066026228118176"
"08/25/2025 14:18:03.602","0.4667348379570986916","6.9343461639340375768"
"08/25/2025 14:18:18.611","0","4.6640097357871797001"
"08/25/2025 14:18:33.595","0.20017152030336393675","5.2711833679885833348"
"08/25/2025 14:18:48.603","1.6660611422980355911","10.063009299480134118"
"08/25/2025 14:19:03.596","5.0692209119049511656","9.7382401728700376253"
"08/25/2025 14:19:18.601","0.066628348259393704867","7.1958616120145197925"
"08/25/2025 14:19:33.597","0","7.2700020951612458475"
"08/25/2025 14:19:48.604","0","3.5317263036857879932"
"08/25/2025 14:20:03.591","1.8015989551046343031","7.6067511437751234027"
"08/25/2025 14:20:18.591","0.13329586031244322619","4.9985947617166210932"
"08/25/2025 14:20:33.606","0","5.6623598003044248728"
"08/25/2025 14:20:48.604","0","1.7333652272535147176"
"08/25/2025 14:21:03.603","1.9338022288057594711","9.5356454730766753158"
"08/25/2025 14:21:18.603","0","1.5999669126842457345"
"08/25/2025 14:21:33.607","0","4.9985767718976603646"
"08/25/2025 14:21:48.592","0","3.1361323523653683587"
"08/25/2025 14:22:03.600","1.5992544169291313949","6.3303820670111452529"
"08/25/2025 14:22:18.601","0","5.7995185626323877415"
"08/25/2025 14:22:33.603","0","5.5995517372182632698"
"08/25/2025 14:22:48.596","0","1.9343293194999440221"
"08/25/2025 14:23:03.604","1.0660454464501718519","6.7960397211198459999"
"08/25/2025 14:23:18.603","0","4.0005248155154644607"
"08/25/2025 14:23:33.592","0","5.8031760782676355959"
"08/25/2025 14:23:48.596","0","1.599488931296672023"
"08/25/2025 14:24:03.614","0","3.7960941481164143241"
"08/25/2025 14:24:18.607","0","2.5344947740118399793"
"08/25/2025 14:24:33.591","0","5.3394449688335594573"
"08/25/2025 14:24:48.596","0","2.5986288594685902353"
"08/25/2025 14:25:03.604","0.19993032561439222361","5.3314753497171256669"
"08/25/2025 14:25:18.601","0","6.6012641861000656007"
"08/25/2025 14:25:33.599","0","11.40089398210011673"
"08/25/2025 14:25:48.606","1.3327609214026636675","6.7970806991535850372"
"08/25/2025 14:26:03.601","8.4688493714446675398","9.535791024540058558"
"08/25/2025 14:26:18.612","0.19986367165713819771","15.256260269828215925"
"08/25/2025 14:26:33.604","0","6.8707173209656335899"
"08/25/2025 14:26:48.611","0","1.9321910863694413685"
"08/25/2025 14:27:03.611","0.40000200801008023443","17.200086344433451302"
"08/25/2025 14:27:18.597","0.93429568903623028131","12.279314770190454809"
