"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-6COJU9A\Network Interface(Intel[R] PRO_1000 MT Desktop Adapter)\Bytes Total/sec"
"08/25/2025 14:17:20.816"," "
"08/25/2025 14:17:36.162","142.42043862306479696"
"08/25/2025 14:17:51.164","3435.4768455859543792"
"08/25/2025 14:18:06.164","3036.8271939572123301"
"08/25/2025 14:18:21.167","125.95226311879832792"
"08/25/2025 14:18:36.179","180.011771384117651"
"08/25/2025 14:18:51.166","3216.5362704689546263"
"08/25/2025 14:19:06.158","1668.0704140953944261"
"08/25/2025 14:19:21.151","232.70852594816116721"
"08/25/2025 14:19:36.172","102.38690708719040856"
"08/25/2025 14:19:51.148","470.70106874250222972"
"08/25/2025 14:20:06.168","1277.4669882836944907"
"08/25/2025 14:20:21.158","2851.8714170363350604"
"08/25/2025 14:20:36.155","1274.3151101360772373"
"08/25/2025 14:20:51.172","89.970260533496343669"
"08/25/2025 14:21:06.163","124.07942158336322791"
"08/25/2025 14:21:21.159","43.273218520438781809"
"08/25/2025 14:21:36.161","78.997335683191863609"
"08/25/2025 14:21:51.161","1427.7092357648516554"
"08/25/2025 14:22:06.155","19693.982486130691541"
"08/25/2025 14:22:21.166","54.82948277356916833"
"08/25/2025 14:22:36.172","71.037043745844357545"
"08/25/2025 14:22:51.159","1980.6696622377089625"
"08/25/2025 14:23:06.171","7166.4038316857468089"
"08/25/2025 14:23:21.171","143.45928138286106446"
"08/25/2025 14:23:36.177","78.967254911629979119"
"08/25/2025 14:23:51.161","474.84177174323332338"
"08/25/2025 14:24:06.153","1264.8439985823767984"
"08/25/2025 14:24:21.153","1071.1529782789548335"
"08/25/2025 14:24:36.162","122.86076766858934661"
"08/25/2025 14:24:51.153","71.575050612999618238"
"08/25/2025 14:25:06.157","120.16897637593227444"
"08/25/2025 14:25:21.167","643.14967945743751443"
"08/25/2025 14:25:36.173","86.88031143766707487"
"08/25/2025 14:25:51.170","1555.5434382103785538"
"08/25/2025 14:26:06.167","8405.3810442073936429"
"08/25/2025 14:26:21.165","2943.5135744812105258"
"08/25/2025 14:26:36.168","75.319633696225778863"
"08/25/2025 14:26:51.160","68.10812589911814996"
"08/25/2025 14:27:06.166","4271.9864326412971423"
"08/25/2025 14:27:21.169","55.921099288038426778"
